date,life_form,species,common_name,breaking_leaf_buds_count,percent_unfolded_leaves,percent_full_size_leaf,percent_leaves_colorful,fallen_leaf_presence,buds_and_flowers_count,percent_open_flowers,fruit_count,percent_ripe_fruits,dropped_fruit_count,notes,unfolded_leaves_count,initial_emergence,leaf_presence,percent_stalk_growth,percent_fiddlehead_unrolled,sporangia_presence,releasing_spores,pollen_amount,breaking_needle_bud_count,young_needle_count,pollen_cone_count,percent_open_pollen_cones,unripe_seed_cone_count,ripe_seed_cone_count
4/14/2023,tree,Malus sp.,apple,0,0,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2023,tree,Malus sp.,apple,10,0,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,tree,Malus sp.,apple,10,0,0,0,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,tree,Malus sp.,apple,1000,0,0,0,FALSE,0,0,0,0,0,"other apple trees, perhaps with less moss/lichen and in sunnier areas, already have flower buds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2023,tree,Malus sp.,apple,10000,0.75,0.75,0,FALSE,1000,0.05,0,0,0,other apple trees flowering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,1000,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/3/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,0,0,1000,0,0,"fruits growinggg, still small and sour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,0,0,1000,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/30/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,0,0,1000,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,0,0,1000,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/2023,tree,Malus sp.,apple,10000,1,1,0,FALSE,0,0,1000,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
