date,life_form,species,breaking_leaf_buds_count,percent_unfolded_leaves,percent_full_size_leaf,percent_leaves_colorful,fallen_leaf_presence,buds_and_flowers_count,percent_open_flowers,fruit_count,percent_ripe_fruits,dropped_fruit_count,notes,unfolded_leaves_count,initial_emergence,leaf_presence,percent_stalk_growth,percent_fiddlehead_unrolled,pollen_amount,...15,breaking_needle_bud_count,young_needle_count,pollen_cone_count,percent_open_pollen_cones,unripe_seed_cone_count,ripe_seed_cone_count
4/14/2023,tree,Malus sp.,0,0,0,0,absent,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2023,tree,Malus sp.,10,0,0,0,absent,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,tree,Malus sp.,10,0,0,0,absent,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,tree,Malus sp.,1000,0,0,0,absent,0,0,0,0,0,"other apple trees, perhaps with less moss/lichen and in sunnier areas, already have flower buds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2023,tree,Malus sp.,10000,0.75,0.75,0,absent,1000,0.05,0,0,0,other apple trees flowering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2023,tree,Malus sp.,10000,1,1,0,absent,1000,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,tree,Malus sp.,10000,1,1,0,absent,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2023,tree,Malus sp.,10000,1,1,0,absent,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/3/2023,tree,Malus sp.,10000,1,1,0,absent,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2023,tree,Malus sp.,10000,1,1,0,absent,0,0,1000,0,0,"fruits growinggg, still small and sour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2023,tree,Malus sp.,10000,1,1,0,absent,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2023,tree,Malus sp.,10000,1,1,0,absent,0,0,1000,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/30/2023,tree,Malus sp.,10000,1,1,0,absent,0,0,1000,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023,tree,Malus sp.,10000,1,1,0,absent,0,0,1000,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/2023,tree,Malus sp.,10000,1,1,0,absent,0,0,1000,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/2023,tree,Malus sp.,10000,1,1,0,absent,0,0,1000,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/2023,tree,Malus sp.,10000,1,1,0.5,present,0,0,900,1,100,"many leaves fallen, fruits all ripe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2023,shrub,Morella pensylvanica,0,0,0,0,absent,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2023,shrub,Morella pensylvanica,0,0,0,0,absent,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,shrub,Morella pensylvanica,0,0,0,0,absent,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,shrub,Morella pensylvanica,0,0,0,0,absent,0,0,0,0,0,some other bushes in sunnier areas appear like they might sprout leaves soon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2023,shrub,Morella pensylvanica,0,0,0,0,absent,0,0,0,0,0,"leaf buds swelling, few other bushes starting to leaf out",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2023,shrub,Morella pensylvanica,1000,1,0.5,0,absent,0,0,0,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,shrub,Morella pensylvanica,1000,1,0.75,0,absent,25,0.5,0,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2023,shrub,Morella pensylvanica,1000,1,0.75,0,absent,100,1,0,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/3/2023,shrub,Morella pensylvanica,1000,1,0.75,0,absent,100,1,0,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2023,shrub,Morella pensylvanica,1000,1,1,0,absent,100,1,0,0,0,unsure if flowers open,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2023,shrub,Morella pensylvanica,1000,1,1,0,absent,0,0,100,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2023,shrub,Morella pensylvanica,1000,1,1,0,present,0,0,100,0,0,"berries plump, unsure if ripe (still green)",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/30/2023,shrub,Morella pensylvanica,1000,1,1,0,present,0,0,100,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023,shrub,Morella pensylvanica,1000,1,1,0,absent,0,0,100,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/2023,shrub,Morella pensylvanica,1000,1,1,0,absent,0,0,100,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/2023,shrub,Morella pensylvanica,1000,1,1,0,absent,0,0,100,0,0,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plants excavated for garden expansion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2023,vine,Lathyrus japonicus,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,absent,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2023,vine,Lathyrus japonicus,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,absent,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2023,vine,Lathyrus japonicus,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,absent,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2023,vine,Lathyrus japonicus,NA,NA,NA,NA,NA,0,0,0,0,0,first spotting!,NA,present,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2023,vine,Lathyrus japonicus,NA,NA,NA,NA,NA,5,0,0,0,0,one bud found,NA,present,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2023,vine,Lathyrus japonicus,NA,NA,NA,NA,NA,100,0.2,0,0,0,NA,NA,present,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/2023,vine,Lathyrus japonicus,NA,NA,NA,NA,NA,1000,0.75,10,0,0,NA,NA,present,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2023,vine,Lathyrus japonicus,NA,NA,NA,NA,NA,1000,1,100,0,0,NA,NA,present,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
