station,time,mooring_site_desc,air_temperature,air_temperature_qc,barometric_pressure,barometric_pressure_qc,wind_gust,wind_gust_qc,wind_speed,wind_speed_qc,wind_direction,wind_direction_qc,wind_2_gust,wind_2_gust_qc,wind_2_speed,wind_2_speed_qc,wind_2_direction,wind_2_direction_qc,visibility,visibility_qc,longitude,latitude,depth
,UTC,,celsius,1,millibars,1,m/s,1,m/s,1,degrees_true,1,m/s,1,m/s,1,degrees_true,1,meters,1,degrees_east,degrees_north,m
F01,2023-04-01T00:00:00Z,Penobscot Bay,1.65,0,1020.7775,0,10.04,39,7.056,39,220.0,39,10.26,0,7.06,0,219.9,0,2996.9692,0,-68.99635,44.05597,-3.0
F01,2023-04-01T00:10:00Z,Penobscot Bay,1.638,0,1020.71747,0,9.33,39,7.052,39,225.4,39,9.35,0,7.039,0,226.0,0,2996.9692,0,-68.99635,44.05597,-3.0
F01,2023-04-01T00:20:00Z,Penobscot Bay,1.54,0,1020.71747,0,7.683,39,6.147,39,218.7,39,8.08,0,6.219,0,220.1,0,2996.9692,0,-68.99635,44.05597,-3.0
F01,2023-04-01T00:30:00Z,Penobscot Bay,1.629,0,1020.5375,0,7.448,39,5.562,39,208.6,39,7.324,0,5.562,0,208.4,0,2996.9692,0,-68.99635,44.05597,-3.0
F01,2023-04-01T00:40:00Z,Penobscot Bay,1.472,0,1020.5375,0,6.86,39,5.522,39,203.7,39,6.878,0,5.513,0,203.8,0,2938.1,0,-68.99635,44.05597,-3.0
F01,2023-04-01T00:50:00Z,Penobscot Bay,1.226,0,1020.4774,0,5.723,39,4.532,39,201.3,39,5.966,0,4.684,0,203.1,0,2910.4675,0,-68.99635,44.05597,-3.0
F01,2023-04-01T01:00:00Z,Penobscot Bay,1.331,0,1020.4774,0,5.958,39,4.688,39,198.6,39,6.178,0,4.889,0,201.0,0,2996.9692,0,-68.99635,44.05597,-3.0
F01,2023-04-01T01:10:00Z,Penobscot Bay,1.413,0,1020.4774,0,6.311,39,5.326,39,188.7,39,6.626,0,5.475,0,189.2,0,2996.9692,0,-68.99635,44.05597,-3.0
F01,2023-04-01T01:20:00Z,Penobscot Bay,1.344,0,1020.4174,0,6.664,39,5.61,39,182.0,39,6.898,0,5.792,0,183.2,0,2968.1353,0,-68.99635,44.05597,-3.0
F01,2023-04-01T01:30:00Z,Penobscot Bay,1.295,0,1020.2974,0,7.095,39,5.844,39,179.0,39,7.694,0,6.018,0,181.0,0,2903.2593,0,-68.99635,44.05597,-3.0
F01,2023-04-01T01:40:00Z,Penobscot Bay,1.262,0,1020.1174,0,7.213,39,5.776,39,169.6,39,7.11,0,5.885,0,169.3,0,2932.093,0,-68.99635,44.05597,-3.0
F01,2023-04-01T01:50:00Z,Penobscot Bay,1.244,0,1020.0573,0,6.233,39,5.47,39,167.3,39,6.772,0,5.624,0,168.3,0,2994.5664,0,-68.99635,44.05597,-3.0
F01,2023-04-01T02:00:00Z,Penobscot Bay,1.304,0,1019.9973,0,5.723,39,4.94,39,166.8,39,6.228,0,5.071,0,168.1,0,2996.9692,0,-68.99635,44.05597,-3.0
F01,2023-04-01T02:10:00Z,Penobscot Bay,1.28,0,1019.75726,0,6.115,39,5.094,39,161.6,39,6.378,0,5.323,0,165.7,0,2992.1636,0,-68.99635,44.05597,-3.0
F01,2023-04-01T02:20:00Z,Penobscot Bay,1.321,0,1019.63727,0,6.429,39,5.576,39,165.6,39,6.562,0,5.684,0,167.8,0,2996.9692,0,-68.99635,44.05597,-3.0
F01,2023-04-01T02:30:00Z,Penobscot Bay,1.315,0,1019.27716,0,7.056,39,5.971,39,163.0,39,7.138,0,5.968,0,165.0,0,2996.9692,0,-68.99635,44.05597,-3.0
F01,2023-04-01T02:40:00Z,Penobscot Bay,1.343,0,1018.91705,0,6.86,39,5.898,39,148.5,39,7.212,0,6.078,0,150.5,0,2980.1494,0,-68.99635,44.05597,-3.0
F01,2023-04-01T02:50:00Z,Penobscot Bay,1.191,0,1018.737,0,7.722,39,6.234,39,150.0,39,7.976,0,6.44,0,152.8,0,2862.4111,0,-68.99635,44.05597,-3.0
F01,2023-04-01T03:00:00Z,Penobscot Bay,1.168,0,1018.37695,0,7.448,39,6.55,39,149.3,39,7.844,0,6.723,0,149.8,0,2996.9692,0,-68.99635,44.05597,-3.0
