Plant,Zone
BlackElderberry,Main Campus
Apple,Main Garden Area
BeachRose,Main Campus
Bayberry,Main Garden Area
BeachPea,South End & High Cliffs
Blackberry,South End & High Cliffs
Blueberry,South End & High Cliffs
BullThistle,Meadow Garden
Calendula,Meadow Garden
CanadaMayflower,South End & High Cliffs
CinnamonFern,Ice Pond
Foxglove,Meadow Garden
Garlic,Main Garden Area
HorseChestnut,Main Garden Area
Mustard,Meadow Garden
Peony,Main Campus
Raspberry,Main Campus
RedElderberry,Meadow Garden
RedSpruce,Ice Pond
Sarsasparilla,South End & High Cliffs
Starflower,South End & High Cliffs
WaterLily,Ice Pond
Yarrow,Main Garden Area
