date,life form,species,initial growth (presnt/absent),emergence (present/absent),# breaking leaf buds,leaves present/absent?,unfolded leaves (present/absent),unfolded leaves? (present/absent),fully unfolded leaves? (present/absent),fully unfolded leaves (present or absent),% unfolded leaves,% full size are most leaves?,# young leaves,# leaves unfolded,young leaves (present/absent),leaves present/absent,% full-sized leaves,% leaves colorful (not including dried leaves retained),% leaves color change,fallen leaves (present/absent),# breaking needle buds,# young needles,% stalk full growth,% fiddlehead unrolled,# flowers or buds,% open flowers,"pollen (little, some, lots)",# pollen cones,% open pollen cones,"pollen release (little, some, lots)",# fruits,# unripe seed cones,% ripe fruits,# ripe seed cones,# dropped/removed fruits,# cone or seed drop,notes,...30
4/14/2023,tree,Malus sp.,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/26/2023,tree,Malus sp.,NA,NA,10,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/29/2023,tree,Malus sp.,NA,NA,10,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
5/10/2023,tree,Malus sp.,NA,NA,1000,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,"other apple trees, perhaps with less moss/lichen and in sunnier areas, already have flower buds",NA
5/20/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,0.75,0.75,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,1000,0.05,NA,NA,NA,NA,0,NA,0,NA,0,NA,other apple trees flowering,NA
6/12/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/19/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,0,NA,NA,NA
6/27/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,0,NA,NA,NA
7/3/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,0,NA,NA,NA
7/10/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,0,NA,"fruits growinggg, still small and sour",NA
7/17/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,0,NA,NA,NA
7/25/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,5,NA,NA,NA
7/30/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,25,NA,NA,NA
8/7/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,25,NA,NA,NA
8/16/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,25,NA,NA,NA
8/22/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1000,NA,0,NA,25,NA,NA,NA
9/30/2023,tree,Malus sp.,NA,NA,10000,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0.5,NA,present,NA,NA,NA,NA,0,0,NA,NA,NA,NA,900,NA,1,NA,100,NA,"many leaves fallen, fruits all ripe",NA
4/14/2023,shrub,Morella pensylvanica,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/26/2023,shrub,Morella pensylvanica,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/29/2023,shrub,Morella pensylvanica,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
5/10/2023,shrub,Morella pensylvanica,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,some other bushes in sunnier areas appear like they might sprout leaves soon,NA
5/20/2023,shrub,Morella pensylvanica,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,"leaf buds swelling, few other bushes starting to leaf out",NA
6/12/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,0.5,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/19/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,0.75,0,NA,absent,NA,NA,NA,NA,25,0.5,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
6/27/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,0.75,0,NA,absent,NA,NA,NA,NA,100,1,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
7/3/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,0.75,0,NA,absent,NA,NA,NA,NA,100,1,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
7/10/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,1,0,NA,absent,NA,NA,NA,NA,100,1,NA,NA,NA,NA,0,NA,0,NA,0,NA,unsure if flowers open,NA
7/17/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,1,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA,NA
7/25/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,1,0,NA,present,NA,NA,NA,NA,0,0,NA,NA,NA,NA,100,NA,0,NA,0,NA,"berries plump, unsure if ripe (still green)",NA
7/30/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,1,0,NA,present,NA,NA,NA,NA,0,0,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA,NA
8/7/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,1,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA,NA
8/16/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,1,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA,NA
8/22/2023,shrub,Morella pensylvanica,NA,NA,1000,NA,NA,NA,NA,NA,1,NA,1000,NA,NA,NA,1,0,NA,absent,NA,NA,NA,NA,0,0,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA,NA
9/30/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plants excavated for garden expansion,NA
4/14/2023,vine,Lathyrus japonicus,absent,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/26/2023,vine,Lathyrus japonicus,absent,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
4/29/2023,vine,Lathyrus japonicus,absent,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA
